,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.37689972507811753,0.46259169459904825,0.4262623826256817,0.6035624237417547,0.557254723575042,0.1927232303493822,0.1741678003964645,0.6380770995557636,0.33477778106887257,0.4647377732000988,1.0,0.31552660306034513,0.4688041109683524
1,0.33242898580396274,0.5724963144000776,0.873176664920021,0.6063186715628486,0.5599046837841131,0.34089602970697364,0.5125494770463098,0.1758219890970647,0.3348678175320441,0.71767520295599,1.0,0.7582126791305462,0.6026806194399295
2,0.20796031496291054,0.4798957402839026,0.19953733317011463,0.42757379440650306,0.13265926852125776,0.5816861452389503,0.27155198737630976,0.6923408752293501,0.3349834134473829,0.5777546706838743,1.0,0.8479321483929568,0.5930730815995204
3,0.758049450306192,0.6625355229270902,0.33961337387874435,0.44364234280654785,0.270115976432038,0.5188920175281406,0.6084769934445678,0.566948591539906,0.3364452833281635,0.5409283048561022,0.0,0.32194901539845916,0.43882457027639965
4,0.5782349735661921,0.36550904977216714,0.32737415997100305,0.6242416162130451,0.8639897255578721,0.6945145445925645,0.22494275276634385,0.605987595672012,0.3366547014314327,0.417616141263326,1.0,0.48841350977825765,0.27682212736980527
5,0.2672890549093806,0.6923567308059253,0.3177464169376045,0.5803729465255703,0.5158861273184987,0.1972864557381755,0.6797046095137075,0.3784344752478086,0.3371516311921181,0.5603103120193619,0.0,0.3955481318371378,0.09369030501732434
6,0.5821844586721121,0.9012875869812289,0.726655283020439,0.5130917282837433,0.6229275197969897,0.6345599952124692,0.6846256390136768,0.5217944406589057,0.3376274910322179,0.3954833092093445,0.0,0.4637550711875746,0.8410166467938309
7,0.5159485427871948,0.7220735216068324,0.24041392803901948,0.61806998729797,0.30754749969142114,0.4415729778050015,0.32211978597334134,0.6062012654087994,0.3381337717761179,0.4200719581115161,1.0,0.5097128733635774,0.3848058964415747
8,0.3501538811176873,0.35245252106806735,0.8355960547590807,0.5094146053801663,0.5079142352305988,0.42948105042654383,0.10072407756605697,0.5463394865841149,0.3390359853034738,0.6350033154533404,0.0,0.2624489666837624,0.28188817134261157
9,0.7068478851525277,0.9084042973993656,0.6366172225521458,0.4478941984088269,0.22908132590029795,0.4039765679668461,0.010763796973823698,0.7715721940210978,0.33918097720954554,0.810548736823099,0.0,0.923074467667341,0.4052878543291448
